muse_id,page_id,sentence_id,example_id,indicator_code,session_id,ann_ex_tokens,page_tokens,sem_similarity,token_n,lemma_n,ann_overlap_lemma,ann_overlap_token,example_len,txt_overlap_lemma,txt_overlap_token,ann_overlap_criticwords,lemmatoken_n,ann_overlap_tokenlemma,txt_overlap_tokenlemma,indicator_code_closed_indef,indicator_code_closed_perm,indicator_code_finance_health,indicator_code_funding_did_not_get,indicator_code_funding_fundraise,indicator_code_funding_gov_emer,indicator_code_funding_other_emer,indicator_code_lang_difficulty,indicator_code_made_covid_safe,indicator_code_online_engag,indicator_code_online_event,indicator_code_online_exhib,indicator_code_open_cafe,indicator_code_open_cur,indicator_code_open_onlineshop,indicator_code_project_postpone,indicator_code_reopen_intent,indicator_code_reopen_plan,indicator_code_staff_hiring,indicator_code_staff_restruct,indicator_code_staff_working,overlap_bin,valid_match
mm.ace.1110,284217,mus_page284217_sent00176,ann_ex_00153,lang_difficulty,20210304,difficult time,our award winning members magazine delivered times year,0.6015,0,1,0.5,0,2,0.125,0,0.5,1,0.5,0.125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.WM132,22670,mus_page22670_sent00002,ann_ex_00191,online_exhib,20210304,online gallery,us shop online venues visit highlights,0.7197,1,1,0.5,0.5,2,0.16667,0.16667,0.5,1,0.5,0.16667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.aim.0110,809825,mus_page809825_sent00091,ann_ex_00276,staff_working,20210304,you queries please contact,details please contact us,0.8922,2,2,0.5,0.5,4,0.5,0.5,0.5,2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"(0.45, 1.01]",T
mm.wiki.100,867282,mus_page867282_sent00037,ann_ex_00035,closed_cur,20210304,line national restrictions museum temporarily closed,please note trinity house reserves right to close operational reasons short notice,0.7208,0,1,0.16667,0,6,0.08333,0,0.33333,1,0.166666667,0.08333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.ace.1204,305386,mus_page305386_sent00089,ann_ex_00075,funding_fundraise,20210304,so we need help to keep afloat season ensure come back situation over continue alive generations,we preparing to re open museum next week we need more volunteer stewards to help especially weekends,0.9049,4,4,0.25,0.25,16,0.23529,0.23529,0.33333,4,0.25,0.23529,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.domus.SW224,1565,mus_page1565_sent00097,ann_ex_00006,closed_cur,20210304,currently we closed covid restrictions,close snowshill unconventional home eccentric charles wade who delighted creating stage his life passions,0.554,0,1,0.2,0,5,0.07143,0,0.5,1,0.2,0.07143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.domus.SE520,118616,mus_page118616_sent00072,ann_ex_00068,funding_fundraise,20210304,donate here to help us re open,william makepeace thackeray said tom carlyle lives perfect dignity house chelsea snuffy scotch maid to open door best company england ringing it,0.559,2,2,0.28571,0.28571,7,0.09091,0.09091,0.25,2,0.285714286,0.09091,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.ace.1205,301537,mus_page301537_sent00004,ann_ex_00190,online_exhib,20210304,online collection,join support us art collections,0.6332,0,1,0.5,0,2,0.2,0,0.5,1,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.SC097,320741,mus_page320741_sent00085,ann_ex_00271,staff_working,20210304,help our reduced team keep site safe clean,keep dating will house outstanding displays tell story boyd family medieval life well east ayrshire ’s stunning collection arms armour restoration complete,0.7518,1,1,0.125,0.125,8,0.04545,0.04545,0.5,1,0.125,0.04545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"(0.0, 0.45]",F
mm.domus.NE069,799838,mus_page799838_sent00043,ann_ex_00195,open_cafe,20210304,our cafe open,there benches open treasure exhibition experience visitors who wish to stop rest,0.7583,1,1,0.33333,0.33333,3,0.08333,0.08333,0.5,1,0.333333333,0.08333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.domus.YH046,785130,mus_page785130_sent00156,ann_ex_00170,online_engag,20210304,subscribe newsletter,subscribe please note clicking subscribe you opting to receive burton constable newsletter,0.7849,2,2,1,1,2,0.16667,0.16667,1,2,1,0.16667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",T
mm.domus.EM106,984847,mus_page984847_sent00007,ann_ex_00197,open_cur,20210304,now open careful visitors,derbyshire open art competition virtual visits wonders peak shop buxton museum art gallery,0.6267,1,1,0.25,0.25,4,0.07692,0.07692,0.5,1,0.25,0.07692,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.musa.313,260463,mus_page260463_sent00029,ann_ex_00056,funding_did_not_get,20210304,covid not receiving support,very own museum sittingbourne had museum still there many people who n’t know it where to find it,0.662,0,1,0.25,0,4,0.05556,0,0.33333,1,0.25,0.05556,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.MDN.026,292710,mus_page292710_sent00296,ann_ex_00275,staff_working,20210304,please contact museum information,telethons contact us,0.6527,1,1,0.25,0.25,4,0.33333,0.33333,0.5,1,0.25,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"(0.0, 0.45]",T
mm.domus.SE522,113653,mus_page113653_sent00153,ann_ex_00020,closed_cur,20210304,we made decision to remain closed general public,bookshop house shop remain closed further notice,0.7923,2,2,0.25,0.25,8,0.28571,0.28571,1,2,0.25,0.28571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",T
mm.fcm.186,844739,mus_page844739_sent00058,ann_ex_00103,funding_fundraise,20210304,make donation,our friendly knowledgeable staff here to make your visit informative well enjoyable,0.6455,1,1,0.5,0.5,2,0.08333,0.08333,0.5,1,0.5,0.08333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.aim.0098,932628,mus_page932628_sent00014,ann_ex_00040,closed_indef,20210304,suspend museum events foreseeable future,our aim to tell story bishopsteignton its history geology geography its people businesses homes gardens mixture digital physical artefacts events information,0.716,1,1,0.2,0.2,5,0.04762,0.04762,0.5,1,0.2,0.04762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.domus.SE080,547517,mus_page547517_sent00090,ann_ex_00190,online_exhib,20210304,online collection,ipswich sitemap designed colchester borough council online team,0.4631,1,1,0.5,0.5,2,0.125,0.125,0.5,1,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.SC176,773627,mus_page773627_sent00064,ann_ex_00221,reopen_intent,20210304,updates reopening,however we beginning to reopen our grounds caravan park self catered accommodation now open visitors,0.4465,0,1,0.5,0,2,0.06667,0,1,1,0.5,0.06667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(0.45, 1.01]",T
mm.domus.NW178,17175,mus_page17175_sent00132,ann_ex_00026,closed_cur,20210304,currently closed government advice,contact holidays team sign register back top close,0.6717,0,1,0.25,0,4,0.125,0,0.33333,1,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.wiki.005,107330,mus_page107330_sent00028,ann_ex_00208,open_onlineshop,20210304,our online shop still open,tweet my desert island daffodils talk johnny walkers sun mar event details book online zoom tickets available,0.757,1,1,0.2,0.2,5,0.05882,0.05882,0.5,1,0.2,0.05882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.ace.1157,1037017,mus_page1037017_sent00014,ann_ex_00113,funding_fundraise,20210304,make donation,buy gifts our well stocked shop entry free we rely donations to keep open so please generous please see donations page details,0.8053,0,1,0.5,0,2,0.04545,0,0.5,1,0.5,0.04545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",T
mm.domus.SE254,196498,mus_page196498_sent00003,ann_ex_00261,staff_hiring,20210304,we also real need more volunteers,our work charity meet team volunteer us,0.8332,0,1,0.16667,0,6,0.14286,0,1,1,0.166666667,0.14286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(0.0, 0.45]",T
mm.domus.SE219,196584,mus_page196584_sent00089,ann_ex_00191,online_exhib,20210304,online gallery,what gallery team school visits to help keep everyone safe our venues currently closed,0.5683,1,1,0.5,0.5,2,0.07143,0.07143,0.5,1,0.5,0.07143,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.SC174,851285,mus_page851285_sent00041,ann_ex_00089,funding_fundraise,20210304,you able to support donation can so here,garden open year free admission donations always very welcome,0.8217,0,1,0.125,0,8,0.11111,0,0.5,1,0.125,0.11111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",T
mm.domus.SE218,196611,mus_page196611_sent00110,ann_ex_00111,funding_fundraise,20210304,your help needed covid,information how to re book cancel your visit detailed your booking confirmation,0.7874,1,1,0.25,0.25,4,0.08333,0.08333,0.33333,1,0.25,0.08333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.domus.NW134,860550,mus_page860550_sent00096,ann_ex_00113,funding_fundraise,20210304,make donation,how you can help make donation,0.8556,2,2,1,1,2,0.33333,0.33333,1,2,1,0.33333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",T
mm.domus.WM136,613040,mus_page613040_sent00128,ann_ex_00007,closed_cur,20210304,to close doors,you not book we can not guarantee admission shugborough estate opening times close important notice only outdoor spaces currently open shugborough pre booked local visitors to access walks,0.7947,2,2,0.66667,0.66667,3,0.07143,0.07143,0.5,2,0.666666667,0.07143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",T
mm.domus.SE220,196513,mus_page196513_sent00137,ann_ex_00103,funding_fundraise,20210304,make donation,accordance government guidelines we carried covid-19 risk assessment to make our sites covid secure identify risk control measures,0.597,1,1,0.5,0.5,2,0.05556,0.05556,0.5,1,0.5,0.05556,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.SE298,512500,mus_page512500_sent00113,ann_ex_00275,staff_working,20210304,please contact museum information,contact our staff museum,0.8553,2,2,0.5,0.5,4,0.5,0.5,1,2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"(0.45, 1.01]",T
mm.domus.SE539,410797,mus_page410797_sent00147,ann_ex_00220,reopen_intent,20210304,please book your ticket online when re open,to avoid disappointment please book advance especially busier times such weekends bank holidays,0.7915,2,2,0.25,0.25,8,0.15385,0.15385,0.5,2,0.25,0.15385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(0.0, 0.45]",T
mm.domus.SE056,602798,mus_page602798_sent00013,ann_ex_00256,reopen_plan,20210304,we currently plan to re open early,news our re opening will announced here when government permits half years history roof,0.8878,1,1,0.14286,0.14286,7,0.07143,0.07143,0.5,1,0.142857143,0.07143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(0.0, 0.45]",T
mm.domus.SE321,256077,mus_page256077_sent00038,ann_ex_00007,closed_cur,20210304,to close doors,latest government advice yard cafe currently closed jersey museum art gallery,0.6361,0,1,0.33333,0,3,0.09091,0,0.5,1,0.333333333,0.09091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",T
mm.domus.YH096,154203,mus_page154203_sent00017,ann_ex_00185,online_event,20210304,online event,upcoming exhibitions events gallery events york museums trust events collections collections highlights online collections,0.7321,1,2,1,0.5,2,0.14286,0.07143,1,2,1,0.14286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.mgs.348,83564,mus_page83564_sent00050,ann_ex_00172,online_engag,20210304,new blog,more britannia blog read our blog to learn life board,0.7909,1,1,0.5,0.5,2,0.1,0.1,1,1,0.5,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",T
mm.hha.045,594752,mus_page594752_sent00031,ann_ex_00182,online_event,20210304,home lecture,what castle home events,0.6574,1,1,0.5,0.5,2,0.25,0.25,0.5,1,0.5,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.WA024,660089,mus_page660089_sent00046,ann_ex_00245,reopen_intent,20210304,we look forward seeing again reopened,coastline trip instagram friendly welsh landmarks take look these must see instagrammable coastal landmarks you your camera,0.7349,1,2,0.33333,0.16667,6,0.11765,0.05882,0.5,2,0.333333333,0.11765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(0.0, 0.45]",F
mm.domus.EM093,47940,mus_page47940_sent00050,ann_ex_00248,reopen_intent,20210304,we look forward welcoming back soon,back top hardwick art collections discover hall hardwick hall currently closed lockdown read discover house bess built 16th century find beautiful elizabethan tapestries,0.6471,1,1,0.16667,0.16667,6,0.04348,0.04348,0.5,1,0.166666667,0.04348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(0.0, 0.45]",F
mm.domus.WM027,113,mus_page113_sent00105,ann_ex_00225,reopen_intent,20210304,we hope pray can bring some amazing special events covid,exhibitions events museums worcestershire offers varied programme activities events well offering visitor chance to explore our venues fascinating histories,0.7605,1,1,0.1,0.1,10,0.05263,0.05263,0.33333,1,0.1,0.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(0.0, 0.45]",F
mm.New.34,118568,mus_page118568_sent00141,ann_ex_00189,online_exhib,20210304,online exhibition,services help centre online shop help centre venue hire residential farm lettings information suppliers media,0.6114,1,1,0.5,0.5,2,0.06667,0.06667,0.5,1,0.5,0.06667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.musa.313,260463,mus_page260463_sent00082,ann_ex_00207,open_onlineshop,20210304,our online shop plenty exclusive collections unique gift ideas,order see our shop page,0.7836,2,2,0.22222,0.22222,9,0.4,0.4,0.5,2,0.222222222,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(0.0, 0.45]",T
mm.hha.188,587861,mus_page587861_sent00053,ann_ex_00076,funding_fundraise,20210304,survival appeal,result scheme likely to wide appeal different demographics,0.6373,1,1,0.5,0.5,2,0.125,0.125,0.5,1,0.5,0.125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.SW179,2655,mus_page2655_sent00072,ann_ex_00006,closed_cur,20210304,currently we closed covid restrictions,corfe castle dominates purbeck landscape it closed castle view perfect starting point walks abilities nearby countryside,0.5281,1,1,0.2,0.2,5,0.0625,0.0625,0.5,1,0.2,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.domus.WA092,192707,mus_page192707_sent00060,ann_ex_00007,closed_cur,20210304,to close doors,line welsh government guidance our places wales will temporarily close december part national effort to bring coronavirus control,0.7211,2,2,0.66667,0.66667,3,0.11111,0.11111,0.5,2,0.666666667,0.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",T
mm.domus.YH169,777180,mus_page777180_sent00011,ann_ex_00191,online_exhib,20210304,online gallery,online past exhibitions,0.743,1,1,0.5,0.5,2,0.33333,0.33333,0.5,1,0.5,0.33333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",T
mm.domus.SW169,818,mus_page818_sent00161,ann_ex_00206,open_onlineshop,20210304,visit our online shop,shopping swanage pier restored victorian pier stroll visit exhibition café shop,0.6007,2,2,0.5,0.5,4,0.18182,0.18182,0.5,2,0.5,0.18182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.YH029,371370,mus_page371370_sent00056,ann_ex_00190,online_exhib,20210304,online collection,join us days exclusive new online content live broadcasts we explore viking world crafting kids lectures world ’s top academics,0.6342,1,1,0.5,0.5,2,0.05,0.05,0.5,1,0.5,0.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",T
mm.domus.WM035,96546,mus_page96546_sent00091,ann_ex_00191,online_exhib,20210304,online gallery,your account online crime community safety homepage anti social behaviour,0.5977,1,1,0.5,0.5,2,0.1,0.1,0.5,1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.SE499,72,mus_page72_sent00236,ann_ex_00206,open_onlineshop,20210304,visit our online shop,join donate volunteer shop school visits,0.7256,1,2,0.5,0.25,4,0.33333,0.16667,0.5,2,0.5,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.SW170,319500,mus_page319500_sent00100,ann_ex_00191,online_exhib,20210304,online gallery,there main entrance gallery,0.6255,1,1,0.5,0.5,2,0.25,0.25,0.5,1,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.YH136,251850,mus_page251850_sent00110,ann_ex_00252,reopen_intent,20210304,we ’ll open again guidance changes,last admission minutes closing we open bank holidays excluding good friday closed december inclusive january,0.7446,2,2,0.33333,0.33333,6,0.13333,0.13333,0.5,2,0.333333333,0.13333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(0.0, 0.45]",F
mm.hha.128,778884,mus_page778884_sent00059,ann_ex_00242,reopen_intent,20210304,we look forward welcoming back soon able safe,back top homepage,0.681,1,1,0.125,0.125,8,0.33333,0.33333,0.5,1,0.125,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(0.0, 0.45]",F
mm.domus.SE475,403341,mus_page403341_sent00005,ann_ex_00184,online_event,20210304,forthcoming online events,to visit plan your visit stonehenge dover castle overseas visitors pass group visits find place to visit what on family events members events find an event you family days out top family days days rainy days family property,0.6314,1,1,0.33333,0.33333,3,0.02632,0.02632,0.5,1,0.333333333,0.02632,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.domus.SE423,592754,mus_page592754_sent00005,ann_ex_00258,staff_hiring,20210304,we hiring new volunteers,our museum collections virtual tour library archive venue hire,0.6647,0,1,0.25,0,4,0.11111,0,1,1,0.25,0.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(0.0, 0.45]",F
mm.ace.1147,148407,mus_page148407_sent00025,ann_ex_00256,reopen_plan,20210304,we currently plan to re open early,kiplin tea room open season public visitors kiplin alike,0.7487,1,1,0.14286,0.14286,7,0.11111,0.11111,0.5,1,0.142857143,0.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(0.0, 0.45]",F
mm.domus.SE439,781347,mus_page781347_sent00079,ann_ex_00247,reopen_intent,20210304,hope we will back soon,dorchester abbey museum dorchester abbey museum shop currently open saturdays sundays new procedures place to keep our volunteers visitors safe visitors will asked to leave their details test trace purposes will need to wear mask face covering museum we look forward welcoming you back,0.8358,3,3,0.6,0.6,5,0.06818,0.06818,0.5,3,0.6,0.06818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(0.45, 1.01]",T
mm.wiki.359,831578,mus_page831578_sent00156,ann_ex_00158,lang_difficulty,20210304,it unclear moment just how much will cover difficult time,there no upcoming events time,0.8022,1,1,0.1,0.1,10,0.2,0.2,1,1,0.1,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",T
mm.misc.236,34252,mus_page34252_sent00048,ann_ex_00056,funding_did_not_get,20210304,covid not receiving support,exception assistance dogs we only allow dogs patio area granite ’s they not allowed heritage centre building other areas site including nature trails,0.6923,1,1,0.25,0.25,4,0.04348,0.04348,0.33333,1,0.25,0.04348,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.musa.004,669478,mus_page669478_sent00016,ann_ex_00276,staff_working,20210304,you queries please contact,to contact us please email,0.8992,2,2,0.5,0.5,4,0.4,0.4,0.5,2,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"(0.45, 1.01]",T
mm.domus.SE382,195937,mus_page195937_sent00167,ann_ex_00195,open_cafe,20210304,our cafe open,level study day latin taster day gcse study day classics masterclass cambridge open days av ancient world competition museum classical archaeology faculty classics,0.6087,1,1,0.33333,0.33333,3,0.04348,0.04348,0.5,1,0.333333333,0.04348,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.domus.SE488,775571,mus_page775571_sent00046,ann_ex_00193,online_exhib,20210304,online exhibition now live,our online shop now exclusive stocks new jotus rf19 private hire livery rf25 green line livery,0.6966,2,2,0.5,0.5,4,0.125,0.125,0.5,2,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
mm.domus.SE468,655226,mus_page655226_sent00016,ann_ex_00117,funding_gov_emer,20210304,we very grateful financial support received main grant funders hm treasury,courses collections collection donations supporting us become friend volunteers donations fundraising hire,0.7889,0,1,0.09091,0,11,0.08333,0,0.33333,1,0.090909091,0.08333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.45]",F
mm.ace.1110,284217,mus_page284217_sent00006,ann_ex_00182,online_event,20210304,home lecture,guides history home spotlight places we love historic gardens,0.6435,1,1,0.5,0.5,2,0.11111,0.11111,0.5,1,0.5,0.11111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(0.45, 1.01]",F
