
"Ardress House","BT62 1SQ","1945-1960"
"Argyll & Sutherland Highlanders Regimental Museum","FK8 1EH","1988"
"Arley Hall","CW9 6NA","1980"
"Arlington Court & National Trust Carriage Museum","EX31 4LP","1949"
"Arlington Mill Museum","GL7 5NL","1965"
"Armadale Museum","EH48 3JB","2010"
"Armagh County Museum","BT61 9BE","1937"
"Armagh Robinson Library","BT61 7DY","1771"
"Armitt Museum And Library","LA22 9BL","1912"
"Armourgeddon Military Museum","LE17 6NW","2013"
"Arniston House","EH23 4RY","1985"
"Arnold Bennett Museum","ST6 2HS","1960"
"Arran Heritage Museum","KA27 8DP","1979"
"Arreton Manor","PO30 3AA","1945-1960"
"Arsenal Museum","N5 1BU","1993"
"Arthur Cottage","BT42 1NX","1960-2001"
"Arundel Castle","BN18 9AB","1947"
"Arundel Museum","BN18 9PA","1964"
"Arundells","SP1 2EN","2008"
"Ascott House","LU7 0PS","1950"
"Ash Museum","GU12 5DP","2006"
"Ashbourne Heritage Centre","DE6 5NA","2013"
"Ashburton Museum","TQ13 7DT","1962"
"Ashby-de-la-Zouch Museum","LE65 1HU","1982"
"Ashdon Village Museum","CB10 2HF","1999"
"Ashford Borough Museum","TN23 1QL","1989"
"Ashford Steam Centre","TN23 1EZ","1968"
"Ashley Countryside Collection","EX18 7RH","1972"
"Ashmolean Museum Of Art And Archaeology","OX1 2PH","1683"
"Ashridge House","HP4 1NS","1960-2017"
"Ashwell Village Museum","SG7 5NY","1930"
"Ashworth Barracks Museum","DN4 9EY","2014"
"Asian Music Museum","W4 5YA","1998"
"Assay Office Birmingham","B1 3AX","1900-1959"
"Astley Cheetham Art Gallery","SK15 2BN","1932"
"Astley Green Colliery Museum","M29 7JB","1972"
"Astley Hall Museum And Art Gallery","PR7 1NP","1924"
"Aston Hall","B6 6JD","1864"
"Aston Magna Bygones Museum","GL56 9QQ","1970-1979"
"Aston Martin Heritage Trust","OX10 7BG","2002"
"Athelhampton House & Gardens","DT2 7LG","1960"
"Athelstan Museum","SN16 9BZ","1931"
"Atholl Country Life Museum","PH18 5SG","1981"
"Atholl Palace Museum","PH16 5LX","2005"
"Atkinson Art Gallery","PR8 1DB","1878"
"Attingham Park","SY4 4TP","1947"
"Atwell-Wilson Motor Museum","SN11 0NF","1989"
"Auchindrain Museum","PA32 8WD","1964"
"Auckland Castle","DL14 7NR","1960-2017"
"Audley End","CB11 4JF","1950"
"Aughakillymaude Mummers Centre","BT92 9JT","2007"
"Auld Kirk Museum","G66 1AB","1961"
"Auld Skoll","ZE2 9JU","1986"
"Automobilia Motor Museum","PL26 7RX","1980"
"Automobilia Transport Museum","HD1 6QA","1980"
"Avery Historical Museum","B66 2LP","1927"
"Avington Park","SO21 1DB","1945-1960"
"Avon Tyre Museum","SN12 8DB","1979"
"Avon Valley Railway","BS30 6HD","1979"
"Avoncroft Museum Of Historic Buildings","B60 4JR","1967"
"Avro Heritage Museum","SK7 1AG","2015"
"Axe Valley Heritage Museum","EX12 2LD","1987"
"Axminster Heritage Centre","EX13 5AH","1982"
"Aycliffe And District Bus Preservation Society","DL5 4UL","1980"
"Aylsham Heritage Centre","NR11 6DR","2011"
"Ayrshire Yeomanry Museum","KA7 4NQ","1974"
"Ayscoughfee Hall Museum","PE11 2RA","1987"
"Bachelors Club","KA5 5RB","1971"
"Bacup Natural History Society And Museum","OL13 9AE","1878"
"Baddesley Clinton Hall","B930DQ","1982"
"Badminton","GL9 1DD","1945-1960"
"Bagshaw Museum","WF17 0AS","1911"
"Bailiffgate Museum","NE66 1LX","2002"
"Baird Institute Museum","KA18 1AD","1891"
"Baird Museum of TV","SN2 2BB","1983"
"Baked Bean Museum Of Excellence","SA12 6JA","2009"
"Bakelite Museum","TA4 4NS","1985"
"Bakewell Old House Museum","DE45 1DD","1954"
"Baldock Museum","SG7 6AX","1999"
"Balfour Museum Of Hampshire Red Cross History","SO22 5JD","1994"
"Ballance House","BT29 4NY","1960-2017"
"Ballindalloch Castle","AB37 9AX","1960-2017"
"Ballycastle Museum","BT54 6AS","1976"
"Ballymoney Museum","BT53 6BE","1866"
"Balmoral","AB35 5TB","1931"
"Bamburgh Castle Aviation Artefacts Museum","NE69 7DF","1995"
"Bamburgh Castle","NE69 7DF","1948"
"Banbury Museum","OX16 2PQ","2002"
"Banchory Museum","AB31 5SX","1978"
"Bancroft Engine Mill Trust","BB18 5QR","1980"
"Banff Museum","AB45 1AE","1875"
"Bangor Art Collection","LL57 2DG","1963"
"Banham International Motor Museum","NR16 2HE","1969"
"Bank Of England Museum","EC2R 8AH","1988"
"Bankfield Museum","HX3 6HG","1887"
"Bann Valley Heritage","BT63 6DU","2009"
"Banqueting House Whitehall","SW1A 2ER","1963"
"Bantock House Museum","WV3 9LQ","1948"
"Banwell Museum","BS29 6EA","1980"
"Bar Convent","YO24 1AQ","1987"
"Barbara Hepworth Museum","TR26 1AD","1976"
"Barber Institute Of Fine Arts","B15 2TS","1932"
"Bargate Guildhall Museum","SO14 1HF","1951"
"Barley Hall","YO1 8AR","1993"
"Barleylands Craft Village And Farm Centre","CM11 2UD","1984"
"Barmouth Rnli Museum","LL42 1NF","1960-1981"
"Barmouth Sailors Institute","LL42 1ET","2005"
"Barn Museum","BT66 6LF","1997"
"Barnes Museum of Cinematography","TR26 1HE","1963"
"Barnet Museum","EN5 4BE","1938"
"Barneys Fossil And Country Life Exhibition","DT6 6NX","1968"
"Barnstaple Heritage Centre","EX31 1EU","1998"
"Barometer World and Museum","EX20 3DS","2006"
"Barony Chambers Museum","G66 1AB","1975"
"Barr Castle Museum","KA4 8HU","2001"
"Barra Heritage & Cultural Centre","HS9 5XD","1996"
"Barrack Street Museum","DD1 1PG","1910"
"Barrhead Museum","G78 1SW","1994"
"Barrow Hill Roundhouse Railway Centre","S43 2PR","1998"
"Barry War Museum","CF62 5TH","2013"
"Barton House Museum","NR12 8TL","1963"
"Basildon Park","RG8 9NR","1978"
"Basing House","RG24 7HB","1976"
"Basket Museum","TA3 6HY","1980-1984"
"Bassetlaw Museum","DN22 6LD","1983"
"Batemans","TN19 7DS","1936"
"Bath Abbey Heritage Vaults","BA1 1LT","1994"
"Bath Carriage Museum","BA1 2PW","1950"
"Bath Easton Museum","BA1 7DP","1970"
"Bath Medical Museum","BA1 1RL","2012"
"Bath Postal Museum","BA1 1AJ","1979"
"Bath Royal Literary And Scientific Institution","BA1 2HN","1823"
"Batley Art Gallery","WF1 5DA","1964"
"Battle Museum Of Local History","TN33 0EA","1956"
"Battle Of Britain Bunker","UB10 0RN","1975"
"Battle Of Britain Memorial Flight Visitor Centre","LN4 4SY","1986"
"Battle Of Flowers Museum","JE3 2ES","1971"
"Battlesbridge Motorcycle Museum","SS11 7RF","1984"
"Bawdsey Radar","IP12 3BA","2003"
"Bay Museum","SS8 0AY","2010"
"Bayle Museum","YO16 7JT","1921"
"Baysgarth House Museum","DN18 6AH","1981"
"Beaminster Museum","DT8 3NB","1987"
"Beamish","DH9 0RG","1972"
"Beaney House Of Art And Knowledge","CT1 2JE","1858"
"Bear Gardens Museum","SE1 9ED","1972"
"Bear Museum","GU31 4JJ","1984"
"Beatrix Potter Gallery","LA22 0NS","1944"
"Beaulieu Abbey And Display Of Monastic Life","SO42 7ZN","1906"
"Beaumaris Gaol","LL58 8EP","1974"
"Beccles And District Museum","NR34 9ND","1976"
"Beck Isle Museum Of Rural Life","YO18 8DU","1967"
"Beckfords Tower And Museum","BA1 9BH","1973"
"Bedale Museum","DL8 1AA","1959"
"Bedford Museum","MK40 3XD","1962"
"Bedfordshire And Hertfordshire Regiment Museum","LU2 7HA","1947"
"Bedworth Heritage Centre - The Parsonage And Nurses House","CV12 8NR","2000"
"Bedwyn Stone Museum","SN8 3PF","1962"
"Beechin Wood Archery Collection","TN15 8QN","1960-2017"
"Beecroft Art Gallery","SS2 6EX","1952"
"Beeleigh Abbey","CM9 6LL","1945-1951"
"Beeston Castle","CW6 9TX","1980-1989"
"Belfast City Hall Visitor Exhibition","BT1 5GS","2017"
"Belford Hidden History Museum","NE70 7LS","2012"
"Belgrave Hall","LE4 5PE","1936"
"Bellaghy Bawn","BT45 8LA","1996"
"Belleek Pottery Visitor Centre Museum","BT93 3FY","1988"
"Belmont House And Gardens","ME13 0HH","1960-2017"
"Belper Heritage Centre","DE56 1HX","1990"
"Belsay Hall, Castle & Gardens","NE20 0DX","1984"
"Belton House","NG32 2LS","1984"
"Belvoir Castle","NG32 1PE","1955"
"Bembridge Heritage Centre","PO35 5SF","1997"
"Bembridge Mill","PO35 5SQ","1962"
"Ben Uri Gallery","NW8 0RH","1915"
"Benburb Priory Library And Museum","BT71 7JZ","2017"
"Beningbrough Hall","YO30 1DD","1958"
"Benjamin Franklin House","WC2N 5NF","2006"
"Bennie Museum","EH48 4HU","1989"
"Benson Veteran Cycle Museum","OX10 6LH","1960-1981"
"Benthall Hall","TF12 5RX","1958"
"Bentley Motor Museum","BN8 5AF","1982"
"Bentley Priory Museum","HA7 3HT","2013"
"Bentwaters Cold War Museum","IP12 2TW","2007"
"Berkeley Castle","GL13 9BQ","1956"
"Berkshire & Westminster Dragoons Museum","SW3 4RY","1963"
"Berkshire Library & Museum Of Freemasonry","RG41 5EA","2002"
"Berkshire Medical Heritage Centre Museum","RG1 5AN","1997"
"Berkshire Yeomanry Museum","SL4 3JG","1974"
"Berkswell Village Museum","CV7 7BJ","1981"
"Bernera Museum","HS2 9LT","1991"
"Berrington Hall","HR6 0DW","1957"
"Bersham Heritage Centre","LL14 4HT","1983"
"Berwick Gaol Museum","TD15 1BN","1975-2013"
"Berwick Museum And Art Gallery","TD15 1DQ","1927"
"Beside The Seaside Museum","YO15 2SP","1998"
"Beswick Museum","ST3 2JP","1986"
"Bethlem Museum of the Mind","BR3 3BX","1970"
"Betws-y-Coed Motor Museum","LL24 0AH","1985"
"Beverley Art Gallery","HU17 8HE","1910"
"Beverley Guildhall","HU17 9XX","1960-2017"
"Bewcastle Museum","CA6 6PS","2014"
"Bewdley Museum","DY12 2AE","1972"
"Bexhill Costume And Social History Museum","TN40 1RL","1972"
"Bexhill Museum","TN39 3HL","1914"
"Bexley Museum","DA5 1PQ","1972"
"Bicton Park Countryside Museum","EX9 7BJ","1967"
"Bideford Railway Heritage Centre","EX39 4BB","1994"
"Big Four Railway Museum & Model Centre","BH1 1EW","1975"
"Big Pit: The National Mining Museum Of Wales","NP4 9XP","1983"
"Biggar & Upper Clydesdale Museum","ML12 6DH","2015"
"Biggar Albion Museum","ML12 6EJ","1993"
"Biggar Gasworks Museum","ML12 6BZ","1979"
"Biggin Hill Memorial Museum","TN16 3EJ","2019"
"Bignor Roman Villa","RH20 1PH","1960-2017"
"Billingham Art Gallery","TS23 2LW","1968"
"Bilsthorpe Heritage Museum","NG22 8QY","2014"
"Bilston Craft Gallery","WV14 7LU","1937"
"Birchills Canal Museum","WS2 8QD","1980-1989"
"Birdoswald Roman Fort","CA8 7DD","1987"
"Birkenhead Priory And St Marys Tower","CH41 5JH","1896"
"Birmingham Back To Backs","B5 4TE","2004"
"Birmingham Gun Barrel Proof House","B5 5RH","2000"
"Birmingham Museum And Art Gallery","B3 3DH","1885"
"Birmingham Museum Of Science & Industry","B3 1RZ","1951"
"Bishop Asbury Cottage","B43 6HN","1959"
"Bishop Bonners Cottage Museum","NR19 1ED","1953"
"Bishops Castle Railway Museum","SY9 5BQ","1999"
"Bishops House","S8 9BE","1976"
"Bishops Lydeard Mill","TA4 3LN","2003"
"Bishops Stortford Local History Museum","CM23 3SU","1979"
"Bishops Stortford Museum","CM23 3JG","2005"
"Bishops Waltham Museum","SO32 1DH","1987"
"Bishopsteignton Museum Of Rural Life","TQ14 9QL","1983"
"Bitterne Local History Society Heritage And Research Centre","SO19 7RD","1993"
"Black And White House Museum","HR1 2AA","1928"
"Black Country Living Museum","DY1 4SQ","1978"
"Black Watch Regimental Museum","PH1 5HR","1962"
"Blackburn Museum And Art Gallery","BB1 7AJ","1874"
"Blacked-out Britain War Museum","PE29 3PE","1960-2007"
"Blackgang Sawmill Museum","PO38 2HN","1972"
"Blackridge Community Museum","EH48 3SP","2000"
"Blackwater Valley Museum","BT13 1AB","1989"
"Blackwell Arts And Crafts House","LA23 3JT","2001"
"Bladon Art Gallery","SP11 0AR","1948"
"Blaenavon Community Museum","NP4 9PT","2002"
"Blaenavon Ironworks","NP4 9RQ","1960-2017"
"Blagdon Lake Pumping Station And Visitor Centre","BS40 7UN","1988"
"Blaina Heritage Museum","NP13 3BN","2007"
"Blair Castle & Gardens","PH18 5TL","1936"
"Blairs Museum","AB12 5YQ","1988"
"Blaise Castle House Museum","BS10 7QS","1949"
"Blake Museum","TA6 3NB","1926"
"Blakesley Hall","B25 8RN","1935"
"Blandford Fashion Museum","DT11 7AA","1996"
"Blandford Town Museum","DT11 7HQ","1985"
"Blazes, The Fire Museum","TA4 3HS","1988"
"Blenheim Palace","OX20 1PP","1950"
"Blessingbourne Carriage And Costume Museum","BT75 0QS","1960-2017"
"Bletchley Park","MK3 6EB","1993"
"Blickling Hall","NR11 6NF","1940"
"Blindiana Museum","W1N 6AA","1931"
"Blists Hill Victorian Town","TF7 5UD","1973"
"Blitz And Pieces","NR29 3NS","2014"
"Bloxham Village Museum","OX15 4ET","1981"
"Blue Anchor Railway Museum","TA4 3BX","1985"
"Blue Town Heritage Centre","ME12 1RW","2009"
"Bluebell Railway Museum","TN22 3QL","2011"
"Blyth Battery","NE24 3PQ","2008"
"Bod Of Gremista","ZE1 0PX","1987"
"Bodeilio Weaving Centre","LL77 7GL","1980"
"Bodelwyddan Castle","LL18 5YA","1988"
"Bodmin & Wenford Railway","PL31 1AQ","1986"
"Bodmin Town Museum","PL31 2HQ","1983"
"Bodrhyddan Hall","LL18 5SB","1945-1960"
"Body Worlds","W1J 0DA","2018"
"Bognor Regis Museum","PO21 1XA","1984"
"Bolling Hall Museum","BD4 7LP","1915"
"Bollington Discovery Centre","SK10 5JZ","2005"
"Bolton Castle","DL8 4ET","1980-1989"
"Bolton Museum And Art Gallery","BL1 1SE","1888"
"Bolton Steam Museum","BL1 4EU","1983"
"Bomber County Aviation Museum","DN21 5TJ","1960-1981"
"Bond Museum","CA12 5NR","2009"
"Boness & Kinneil Railway","EH51 9AQ","1980"
"Boness Motor Museum","EH51 9JR","2004"
"Booth Museum Of Natural History","BN1 5AA","1874"
"Bootle Museum And Art Gallery","L20 7AG","1888"
"Borders Textile Towerhouse","TD9 9EN","2009"
"Bordesley Abbey Visitor Centre","B98 8HY","1992"
"Borough Road Gallery","SE1 0AA","2012"
"Borreraig Park Museum","IV55 8ZX","1960-2009"
"Borth Station Museum","SY24 5HT","2011"
"Boscobel House","ST19 9AR","1984"
"Boscombe Down Aviation Collection","SP4 6DZ","2012"
"Boston Guildhall Museum","PE21 6HT","1926"
"Boston Manor House","TW8 9JX","1963"
"Boswell Museum & Mausoleum","KA18 2AE","1978"
"Bosworth Battlefield Heritage Centre","CV13 0AD","1985"
"Botanic Gardens Museum","PR9 7NB","1876"
"Bottisham Airfield Museum","CB25 9BU","2009"
"Boughton House","NN14 1BJ","1986"
"Boulton Paul Heritage Centre","WV9 5EW","2001"
"Bourne Hall Museum","KT17 1UF","1969"
"Bourne Heritage Centre","PE10 9LY","1999"
"Bournemouth Aviation Museum","BH23 6BA","1998"
"Bournemouth Natural Science Society Museum","BH1 3NS","1912"
"Bournemouth Transport Museum","BH8 9PE","1977"
"Bovey Tracey Heritage Centre","TQ13 9JP","1998"
"Bowes Museum","DL12 8NP","1892"
"Bowes Railway Museum","NE9 7QJ","1976"
"Bowhill House","TD7 5ET","1974"
"Bowood House","SN11 0LZ","1975"
"Boxing Museum","SE1 5UE","1984"
"Boxted Airfield Museum","CO4 0HZ","2011"
"Boys Brigade Heritage Museum","BT22 2LZ","1990-2010"
"Bracken Hall Countryside Centre","BD17 5EA","1989"
"Bradford Industrial Museum","BD2 3HP","1974"
"Bradford On Avon Museum","BA15 1BY","1990"
"Bradford Police Museum","BD1 1HY","2014"
"Brading Roman Villa","PO36 0EN","2004"
"Brading Waxworks","PO36 0DQ","1965"
"Bradley Manor","TQ12 1LX","1945-1954"
"Bradwell Lodge","CM0 7PL","1945-1956"
"Bradworthy Transport Museum","EX22 7RW","2006"
"Braemar Castle","AB35 5XR","1960-1965"
"Braintree District Museum","CM7 3HW","1993"
"Bramah Tea And Coffee Museum","SE1 1UN","1992"
"Bramall Hall","SK7 3NX","1935"
"Bramham Park","LS23 6ND","1952"
"Brampton Museum","ST5 0QP","1943"
"Brander Museum","AB54 8AE","1883"
"Brantwood","LA21 8AD","1934"
"Brattle Farm Museum","TN12 0HE","1975"
"Braunton And District Museum","EX33 1AA","1974"
"Breamish Valley Archaeology Exhibition","NE66 4LT","1980-1989"
"Breamore Countryside Museum","SP6 2DF","1971"
"Brechin Museum","DD9 6ER","1846"
"Brecknock Museum And Art Gallery","LD3 7DS","1928"
"Brede Steam Giants","TN31 6HG","1994"
"Bredgar and Wormshill Light Railway","ME9 8AT","1975"
"Bredy Farm Old Farming Collection","DT6 4ND","1968"
"Brent Museum","NW10 2SF","1977"
"Brentwood Museum","CM14 5HH","1989"
"Brenzett Aeronautical Museum","TN29 0EE","1972"
"Bressay Heritage Centre","ZE2 9EL","1996"
"Bressingham Steam Museum","IP22 2AB","1963"
"Brewery Farm Museum","DT11 0BH","1945-1979"
"Bridgenorth Northgate Museum","WV16 4ER","1951"
"Bridgeton Bus Garage","G40 3AH","2003"
"Bridlington Harbour Heritage Museum","YO15 2NR","1986"
"Bridport Museum","DT6 3NR","1932"
"Brighstone Village Museum","PO30 4AX","1994"
"Bright Water Visitor Centre","IV41 8PL","2000"
"Brightlingsea Museum","CO7 0EA","1989"
"Brighton And Hove Albion Football Club Museum","BN1 9BL","2014"
"Brighton Fishing Museum","BN1 1NB","1994"
"Brighton Motor Museum","BN2 1EJ","1961"
"Brighton Museum And Art Gallery","BN1 1EE","1873"
"Brighton Toy And Model Museum","BN1 4EB","1991"
"Brighton Transport Museum","BN1 5PS","1981"
"Brindley Mill And James Brindley Museum","ST13 8FA","1974"
"Bristol Aero Collection Trust","GL7 6BA","2000"
"Bristol Industrial Museum","BS1 4RN","1978"
"Bristol Museum And Art Gallery","BS8 1RL","1872"
"Bristol Theatre Collection","BS1 5LT","1951"
"Britain At War","SE1 2TF","1992"
"Britannia Royal Naval Collection","TQ6 0HJ","1999"
"British Airways Heritage Collection","UB7 0GB","2003"
"British Balloon Museum & Library Ltd","RG14 1DY","1979"
"British Commercial Vehicle Museum","PR25 2LE","1986"
"British Cured Pilchards Ltd","TR18 5QH","1995"
"British Cycling Museum","PL32 9TZ","1992"
"British Dental Association Museum","W1G 8YS","1934"
"British Empire And Commonwealth Museum","BS1 6QH","1986"
"British Engineerium","BN3 7QA","1976"
"British Golf Museum","KY16 9AB","1990"
"British Heritage Exhibition","CH1 1QX","1974"
"British In India Museum","BB9 8AD","1972"
"British Lawnmower Museum","PR8 5AJ","1992"
"British Magic Museum","NR28 0NB","2017"
"British Motor Museum","CV35 0BJ","1993"
"British Museum","WC1B 3DG","1759"
"British Music Experience","L3 1DS","2009"
"British Optical Association Museum","WC2N 5NG","1901"
"British Photographic Museum","TQ9 7PW","1987"
"British Schools Museum","SG4 9TS","1994"
"British Tattoo History Museum","OX4 2BS","1975"
"British Theatre Museum","WC2E 7PR","1987"
"British Vintage Wireless And Television Museum","SE21 8DS","1974"
"Brixham Battery Museum","TQ5 8RU","1999"
"Brixham Heritage Museum","TQ5 8LZ","1958"
"Bro Aman Museum","SA18 3DN","1996-2005"
"Broadfield House Glass Museum","DY6 9NS","1980"
"Broadlands","SO51 9ZD","1979"
"Broadway Museum & Art Gallery","WR12 7DP","2013"
"Brockfield Hall","YO19 5XJ","1990"
"Brockham Narrow Gauge Railway Museum","RH3 7EZ","1962"
"Brockhampton Estate","WR6 5TB","1946"
"Brodick Castle","KA27 8HY","1958"
"Brodie Castle","IV36 2TE","1960-2017"
"Brodsworth Hall","DN5 7XJ","1990"
"Bronte Interpretive Centre","BT34 5PH","1960-2017"
"Bronte Parsonage Museum","BD22 8DR","1895"
"Brookeborough Vintage Cycles Museum","BT94 4EZ","1998"
"Brooklands Agricultural Farm Implements Museum","GY5 7LS","1996"
"Brooklands Museum","KT13 0QN","1987"
"Brooks Collectables And Museum","FY4 1AF","2009"
"Broomfield House Museum","N13 4HE","1925"
"Brora Heritage Centre","KW9 6LE","1997"
"Broseley Pipe Works","TF12 5NA","1996"
"Brougham Castle","CA10 2AA","1934-1939"
"Broughton Castle","OX15 5EB","1930-1950"
"Broughton House","DG6 4JX","1951"
"Broughty Castle Museum","DD5 2TF","1969"
"Brownsbank Cottage","ML12 6DT","1990"
"Browsholme Hall","BB7 3DE","1957"
"Broxburn Community Museum","EH52 5RH","1989"
"Bruce Castle Museum","N17 8NU","1906"
"Brunel Museum","SE16 4LF","1961"
"Bruntingthorpe Aircraft Museum","LE17 5QS","1983"
"Bruton Museum","BA10 0AA","1999"
"Brympton Devercy Manor House","BA22 8TD","1974-1979"
"Bryn-Eithyn Hall Folk Museum","SY23 4BY","1945-1979"
"Brynmawr & District Museum","NP23 4AJ","2003"
"Buckhaven Museum","KY8 1LD","1975"
"Buckie & District Fishing Heritage Centre","AB56 1HB","1986"
"Buckingham Movie Museum","MK18 1JX","1982"
"Buckingham Old Gaol","MK18 1JX","1985"
"Buckingham Palace","SW1A 1AA","1993"
"Buckinghamshire Railway Centre","HP22 4BY","1962"
"Buckland Abbey","PL20 6EY","1951"
"Buckley Library, Museum And Gallery","CH7 2EF","1960-2017"
