musname	muse_id	town	postcode	accreditation	governance	size	subject_matter	closing_date	provenance	deprivation_index	geodemographic_group	geodemographic_subgroup	admin_area	region	gov	valid
Chatteris Museum	mm.domus.SE253	Chatteris	PE16 6JA	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	6.0	Country Living	Country Living	/England/East of England (English Region)/Cambridgeshire and Peterborough (English CA)/Fenland (English District or Borough)	East of England (English Region)	Independent	
Seething Control Tower Museum	mm.musa.004	Seething	NR35 2EQ	Unaccredited	Independent:Private	small	War and conflict:Airforce	Still open	musassoc	5.0	Country Living	Country Living	/England/East of England (English Region)/Norfolk (English County)/South Norfolk (English District or Borough)	East of England (English Region)	Independent	
Hungate Medieval Art	mm.aim.0461	Norwich	NR3 1AE	Unaccredited	Independent:Not for profit	small	Arts:Fine and decorative arts	Still open	aim	3.0	Larger Towns and Cities	Larger Towns and Cities	/England/East of England (English Region)/Norfolk (English County)/Norwich (English District or Borough)	East of England (English Region)	Independent	
Country And Eastern	mm.fcm.067	Norwich	NR2 1NR	Unaccredited	Independent:Not for profit	small	Arts:Other	Still open	fcm	2.0	Larger Towns and Cities	Larger Towns and Cities	/England/East of England (English Region)/Norfolk (English County)/Norwich (English District or Borough)	East of England (English Region)	Independent	
Henry Moore Studios And Gardens	mm.misc.127	Much Hadham	SG10 6EE	Unaccredited	Independent:Not for profit	small	Personality:Art	Still open	Misc	3.0	Thriving Rural	Rural Growth Areas	/England/East of England (English Region)/Hertfordshire (English County)/East Hertfordshire (English District or Borough)	East of England (English Region)	Independent	
Charles Burrell Museum	mm.domus.SE137	Thetford	IP24 3RL	Unaccredited	Independent:Not for profit	small	Industry and manufacture:Steam and engines	Still open	domus	2.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/East of England (English Region)/Norfolk (English County)/Breckland (English District or Borough)	East of England (English Region)	Independent	
Datchworth Museum	mm.wiki.207	Datchworth	SG3 6TL	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	wiki	9.0	Thriving Rural	Rural Growth Areas	/England/East of England (English Region)/Hertfordshire (English County)/East Hertfordshire (English District or Borough)	East of England (English Region)	Independent	
Stotfold Watermill & Nature Reserve	mm.aim.0943	Hitchin	SG5 4DG	Unaccredited	Independent:Not for profit	small	Rural Industry:Watermills	Still open	aim	9.0	Thriving Rural	Rural Growth Areas	/England/East of England (English Region)/Central Bedfordshire (English UA)	East of England (English Region)	Independent	
Wind Energy Museum	mm.misc.003	Great Yarmouth	NR29 5JU	Unaccredited	Independent:Private	small	Industry and manufacture:Other	Still open	misc	4.0	Remoter Coastal Living	Seaside Living	/England/East of England (English Region)/Norfolk (English County)/Great Yarmouth (English District or Borough)	East of England (English Region)	Independent	
306th Bombardment Group Museum	mm.wiki.007	Bedford	MK44 1QU	Unaccredited	Independent:Not for profit	small	War and conflict:Airforce	Still open	wiki	7.0	Suburban Traits	Expanding Areas	/England/East of England (English Region)/Bedford (English UA)	East of England (English Region)	Independent	
Military Museum	mm.New.2	Bury St Edmunds	IP30 9AE	Unaccredited	Independent:Private	small	War and conflict:Military	Still open	New	8.0	Country Living	Country Living	/England/East of England (English Region)/Suffolk (English County)/Mid Suffolk (English District or Borough)	East of England (English Region)	Independent	
St John Ambulance Museum	mm.fcm.235	North Walsham	NR28 9DR	Unaccredited	Independent:Unknown	small	Medicine and health:Professional association	Still open	fcm	3.0	Remoter Coastal Living	Ageing Coastal Living	/England/East of England (English Region)/Norfolk (English County)/North Norfolk (English District or Borough)	East of England (English Region)	Independent	
The Shuttleworth Collection	mm.wiki.005	nr Biggleswade	SG18 9EP	Unaccredited	Independent:Not for profit	small	Transport:Aviation	Still open	wiki	5.0	Thriving Rural	Rural Growth Areas	/England/East of England (English Region)/Central Bedfordshire (English UA)	East of England (English Region)	Independent	
City Of Norwich Aviation Museum	mm.domus.SE153	Norwich	NR10 3JF	Unaccredited	Independent:Not for profit	small	War and conflict:Airforce	Still open	domus	6.0	Country Living	Country Living	/England/East of England (English Region)/Norfolk (English County)/Broadland (English District or Borough)	East of England (English Region)	Independent	
The Munnings Museum	mm.aim.1196	Colchester	CO7 6AZ	Unaccredited	Independent:Not for profit	small	Personality:Art	Still open	aim	6.0	Thriving Rural	Rural Growth Areas	/England/East of England (English Region)/Essex (English County)/Colchester (English District or Borough)	East of England (English Region)	Independent	
Sandringham	mm.wiki.289	Sandringham	PE35 6EN	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	wiki	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/East of England (English Region)/Norfolk (English County)/King s Lynn and West Norfolk (English District or Borough)	East of England (English Region)	Independent	
Harwich Redoubt Fort	mm.musa.165	Harwich	CO12 3LT	Unaccredited	Independent:Not for profit	small	War and conflict:Castles and forts	Still open	musassoc	2.0	Remoter Coastal Living	Ageing Coastal Living	/England/East of England (English Region)/Essex (English County)/Tendring (English District or Borough)	East of England (English Region)	Independent	
RAF Signals Museum	mm.wiki.003	Henlow	SG16 6DN	Unaccredited	Unknown	small	War and conflict:Airforce	Still open	wiki	10.0	Thriving Rural	Rural Growth Areas	/England/East of England (English Region)/Central Bedfordshire (English UA)	East of England (English Region)	Unknown	
Desert Rats Museum	mm.New.30	Mundford	IP26 5BX	Unaccredited	Independent:Not for profit	unknown	War and conflict:Regiment	Still open	New	6.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/East of England (English Region)/Norfolk (English County)/Breckland (English District or Borough)	East of England (English Region)	Independent	
Tate Britain	mm.domus.SE017	London	SW1P 4RG	Accredited	Government:National	huge	Arts:Fine and decorative arts	Still open	domus	5.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Westminster (London Borough)	London (English Region)	Government	
V&a Museum Of Childhood	mm.ace.1155	London	E2 9PA	Accredited	Government:National	large	Leisure and sport:Toys and models	Still open	ace	3.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Tower Hamlets (London Borough)	London (English Region)	Government	
Sir John Soanes Museum	mm.domus.SE570	London	WC2A 3BP	Accredited	Government:National	large	Buildings:Houses:Medium houses	Still open	domus	6.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Camden (London Borough)	London (English Region)	Government	
Kew Palace	mm.ace.1222	London	TW9 3AB	Accredited	Independent:Not for profit	large	Buildings:Palace	Still open	ace	9.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/London (English Region)/Richmond upon Thames (London Borough)	London (English Region)	Independent	
Osterley Park House	mm.domus.SE522	Osterley	TW7 4RB	Accredited	Independent:National Trust	large	Buildings:Houses:Large houses	Still open	domus	6.0	Ethnically Diverse Metropolitan Living	Ethnically Diverse Metropolitan Living	/England/London (English Region)/Hounslow (London Borough)	London (English Region)	Independent	
Shakespeares Globe Exhibition	mm.musa.305	London	SE1 9DT	Unaccredited	Independent:Not for profit	large	Personality:Literary	Still open	musassoc	5.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Southwark (London Borough)	London (English Region)	Independent	
Enfield Museum	mm.ace.045	Enfield	EN2 6DS	Accredited	Government:Local Authority	medium	Local Histories	Still open	ace	4.0	Ethnically Diverse Metropolitan Living	Ethnically Diverse Metropolitan Living	/England/London (English Region)/Enfield (London Borough)	London (English Region)	Government	
Whitehall Historic House	mm.ace.1190	Cheam	SM3 8QD	Accredited	Government:Local Authority	medium	Buildings:Houses:Medium houses	Still open	ace	9.0	Suburban Traits	City Periphery	/England/London (English Region)/Sutton (London Borough)	London (English Region)	Government	
Household Cavalry Museum	mm.domus.SE447	London	SW1A 2AX	Accredited	Independent:Not for profit	medium	War and conflict:Regiment	Still open	domus	5.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Westminster (London Borough)	London (English Region)	Independent	
Brunel Museum	mm.domus.SE601	London	SE16 4LF	Accredited	Independent:Not for profit	medium	Personality:Other	Still open	domus	3.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Southwark (London Borough)	London (English Region)	Independent	
Charles Dickens Museum	mm.domus.SE016	London	WC1N 2LF	Accredited	Independent:Not for profit	medium	Personality:Literary	Still open	domus	5.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Camden (London Borough)	London (English Region)	Independent	
Chiswick House	mm.domus.SE473	London	W4 2RP	Unaccredited	Independent:English Heritage	medium	Buildings:Houses:Large houses	Still open	domus	7.0	Ethnically Diverse Metropolitan Living	Ethnically Diverse Metropolitan Living	/England/London (English Region)/Hounslow (London Borough)	London (English Region)	Independent	
British Dental Association Museum	mm.domus.SE008	London	W1G 8YS	Accredited	Independent:Not for profit	small	Medicine and health:Professional association	Still open	domus	6.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Westminster (London Borough)	London (English Region)	Independent	
Kelmscott House	mm.domus.SE423	London	W6 9TA	Accredited	Independent:Not for profit	small	Personality:Art	Still open	domus	3.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Hammersmith and Fulham (London Borough)	London (English Region)	Independent	
The Museum of Methodism and John Wesley's House	mm.domus.SE445	London	EC1Y 1AU	Accredited	Independent:Not for profit	small	Belief and identity:Religion	Still open	domus	4.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Islington (London Borough)	London (English Region)	Independent	
Crystal Palace Museum	mm.domus.SE243	London	SE19 2BA	Accredited	Independent:Not for profit	small	Buildings:Other	Still open	domus	3.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/London (English Region)/Bromley (London Borough)	London (English Region)	Independent	
Museum Of Domestic Design And Architecture	mm.domus.SE059	London	NW9 5HF	Accredited	University	small	Arts:Design	Still open	domus	5.0	Ethnically Diverse Metropolitan Living	Ethnically Diverse Metropolitan Living	/England/London (English Region)/Barnet (London Borough)	London (English Region)	University	
Boston Manor House	mm.wiki.152	Brentford	TW8 9JX	Unaccredited	Government:Local Authority	small	Buildings:Houses:Large houses	Still open	wiki	5.0	Ethnically Diverse Metropolitan Living	Ethnically Diverse Metropolitan Living	/England/London (English Region)/Hounslow (London Borough)	London (English Region)	Government	
The Royal Mews	mm.wiki.169	London	SW1W 0QH	Unaccredited	Independent:Not for profit	small	Transport:Other	Still open	wiki	6.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Westminster (London Borough)	London (English Region)	Independent	
Dennis Severs House	mm.wiki.156	London	E1 6BX	Unaccredited	Independent:Not for profit	small	Buildings:Houses:Medium houses	Still open	wiki	5.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Tower Hamlets (London Borough)	London (English Region)	Independent	
Buckingham Palace	mm.wiki.153	London	SW1A 1AA	Unaccredited	Independent:Not for profit	small	Buildings:Palace	Still open	wiki	5.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Westminster (London Borough)	London (English Region)	Independent	
Swedenborg Society Museum	mm.New.155	London	WC1A 2TH	Unaccredited	Independent:Not for profit	small	Mixed:Other	Still open	New	3.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Camden (London Borough)	London (English Region)	Independent	
The Queens Gallery	mm.musa.346	London	SW1A 1AA	Unaccredited	Independent:Not for profit	small	Arts:Fine and decorative arts	Still open	musassoc	5.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Westminster (London Borough)	London (English Region)	Independent	
London Scottish Regimental Museum	mm.musa.205	London	SW1P 2DX	Unaccredited	Independent:Not for profit	small	War and conflict:Regiment	Still open	musassoc	5.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Westminster (London Borough)	London (English Region)	Independent	
London Motor Museum	mm.aim.0560	Hayes	UB3 4SB	Unaccredited	Independent:Not for profit	small	Transport:Cars and motorbikes	Still open	aim	3.0	Ethnically Diverse Metropolitan Living	Ethnically Diverse Metropolitan Living	/England/London (English Region)/Hillingdon (London Borough)	London (English Region)	Independent	
Freddie Fox Museum	mm.misc.029	London	SW1A 1ES	Unaccredited	Independent:Private	small	Other	Still open	misc	5.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Westminster (London Borough)	London (English Region)	Independent	
The Cinema Museum	mm.aim.1023	London	SE11 4TH	Unaccredited	Independent:Not for profit	small	Leisure and sport:Film Cinema and TV	Still open	aim	5.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Lambeth (London Borough)	London (English Region)	Independent	
Elizabeth Garrett Anderson Gallery	mm.New.48	London	NW1 2AY	Unaccredited	Independent:Private	unknown	Personality:Scientific	Still open	New	2.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Camden (London Borough)	London (English Region)	Independent	
Museum of Comedy	mm.New.36	London	WC1A 2SA	Unaccredited	Independent:Private	unknown	Arts:Other	Still open	New	3.0	London Cosmopolitan	London Cosmopolitan	/England/London (English Region)/Camden (London Borough)	London (English Region)	Independent	
Arbeia Roman Fort And Museum	mm.domus.NE033	South Shields	NE33 2BB	Accredited	Government:Local Authority	large	Archaeology:Roman	Still open	domus	2.0	Services Manufacturing and Mining Legacy	Service Economy	/England/North East (English Region)/North East (English CA)/South Tyneside (English District or Borough)	North East (English Region)	Government	
